,Unnamed: 0,dataset_id,dataset_name,organization_name,service_name,start_date_collected,end_date_collected,reporting_unit,ridership_measure,geographic_grain,notes,gtfs_url,gtfs_snapshot_date,gtfs_dataset_name,stop_coords_from_gtfs,route_id_exists,route_name_exists,direction_exists,stop_id_exists,stop_name_exists,stop_lat_exists,stop_lon_exists,boardings_exists,alightings_exists,ridership_exists
0,0,189FC69D989010FD,golden_gate_park_shuttle_ridership,City and County of San Francisco,Golden Gate Park Shuttle,7/1/2024,6/30/2025,day,daily,stop,Collected manually by operators. Weekday two vehicles operate 12pm-6pm. Weekends/Holidays three vehicles operate 9am-6pm.,https://api.511.org/transit/datafeeds?operator_id=GP,2/4/2026,Bay Area 511 Golden Gate Park Shuttle Schedule,1,0,0,1,0,1,0,0,0,0,1
1,1,957BBF3AD8FC1B44,samtrans_ridership,San Mateo County Transit District,SamTrans,8/1/2025,8/31/2025,day,daily,trip_stop,APCs are not NTD-certified and has error rate above 5% threshold required by NTD. This is the only source for stop-level data at this time.,https://api.511.org/transit/datafeeds?operator_id=SM,2/4/2026,Bay Area 511 SamTrans Schedule,1,1,0,0,1,1,1,1,1,1,0
2,2,1B1BADA1E00153AF,sunline_transit_ridership,SunLine Transit Agency,SunLine Transit,7/1/2022,6/30/2025,fiscal_year,avg_daily,stop,,https://infopoint.sunline.org/InfoPoint/GTFS-Zip.ashx,2/4/2026,SunLine Avail Schedule,0,0,0,0,1,1,1,1,1,1,0
3,3,581003114DDAFDBE,santa_cruz_metro_ridership,Santa Cruz Metropolitan Transit District,Santa Cruz METRO,7/1/2024,6/30/2025,fiscal_year,total,stop,"Several buses without APC hardware (5 in March and 8 in April 2025) didn't collect data. Clever Insights failed to collect APC data on all routes from 2025-06-16 to 2025-06-30. Each stop id has two rows (stop_name, stop_name [stop_id])",https://developer.scmetro.org/gtfs.zip,2/4/2026,Santa Cruz Schedule,1,0,0,0,1,1,0,0,1,1,0
4,4,1CCF9080DC015EB8,foothill_transit_ridership,Foothill Transit,Foothill Transit,7/1/2024,6/30/2025,day,daily,trip_stop,,https://foothill3rdparty.rideralerts.com/myStop/gtfs-zip.ashx,2/4/2026,Foothill Schedule,0,1,0,1,1,0,1,1,1,1,0
5,5,9B106785FD780293,fresno_area_express_ridership,City of Fresno,Fresno Area Express,9/1/2024,8/31/2025,day,daily,stop,Dataset include most specific fixed route data. Data collected by Dilax APCs goes through trip matching process and projection process. Data provided is final projected boardings/alightings used for official reporting. 1.1% of trips locked by Dilax and unusable. No service on Thanksgiving and Christmas day. ,https://gis4u.fresno.gov/downloads/zip/fax_gtfs.zip,2/4/2026,Fresno Schedule,1,0,0,0,1,1,0,0,1,1,0
6,6,923349C0D2AC9D75,sdmts_ridership,San Diego Metropolitan Transit System,San Diego Metropolitan Transit System,9/1/2024,1/25/2025,custom_period,avg_daily,trip_stop,Data collected from APCs. Stop IDs consistent with GTFS Stop IDs over the same time.,https://www.sdmts.com/google_transit_files/google_transit.zip,2/4/2026,San Diego Schedule,1,1,1,1,1,1,0,0,1,1,0
7,7,EB48A750664948FB,golden_gate_transit_ridership,"Golden Gate Bridge, Highway and Transportation District",Golden Gate Transit,9/1/2025,9/30/2025,day,daily,trip_stop,"The dataset includes stop-level ridership and virtual time point data. When POINT_ROLE = 'T', the entries do not contain boarding or alighting information.",https://api.511.org/transit/datafeeds?operator_id=GG,2/4/2026,Bay Area 511 Golden Gate Transit Schedule,1,1,0,1,1,1,0,0,1,1,0
8,8,011CF30F49575609,bart_ridership,San Francisco Bay Area Rapid Transit District,Bay Area Rapid Transit,10/1/2024,9/30/2025,day,daily,stop,,https://api.511.org/transit/datafeeds?operator_id=BA,2/4/2026,Bay Area 511 BART Schedule,1,0,0,0,0,1,0,0,1,1,0
9,9,395857DB9F379E73,big_blue_bus_ridership,City of Santa Monica,Big Blue Bus,8/1/2024,11/30/2025,custom_period,avg_daily,stop,"Big Blue Bus implement three service that changes annually, referenced as SERVICE_PERIOD and named after the month they take effect in raw data. Each service lasts for approximately 4 months.",https://gtfs.bigbluebus.com/current_swiftly.zip,2/4/2026,Big Blue Bus Swiftly Schedule,0,1,1,1,1,1,1,1,1,1,0
10,10,3AF83FABCB03BDF4,long_beach_transit_ridership,Long Beach Transit,Long Beach Transit,7/1/2024,6/30/2025,fiscal_year,avg_daily,stop,"Compiled through survey efforts, supplemented with APC data.",https://drive.google.com/uc?export=download&id=1869EVa1z6m_iD6QmvRXyTHtYiaSUBROl,2/4/2026,Long Beach Schedule,1,1,0,1,1,1,0,0,1,1,0
11,11,40F5F343F0BD5850,omni_trans_ridership,OmniTrans,OmniTrans,7/1/2023,6/30/2026,fiscal_year,total,stop,,https://www.omnitrans.org/google/google_transit.zip,2/4/2026,OmniTrans Schedule,1,1,0,0,0,1,0,0,1,1,0
12,12,165BA8D319143274,sbmtd_ridership,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,11/1/2024,10/31/2025,month,total,stop,"Data collected using APC and sourced through Hopthru, which the agency received NTD certification for. In rare event that the APCs do not recognize a data point and discard it.",https://sbmtd.gov/google_transit/feed.zip,2/4/2026,SBMTD Schedule,1,0,0,0,1,1,0,0,1,1,1
13,13,AAB25897C65A4725,gold_coast_transit_ridership,Gold Coast Transit District,Gold Coast Transit,5/1/2025,5/31/2025,month,avg_daily,stop,"We received raw data for May and October, from 2018 to 2025. In first release we only import May 2025 data, which contains most clear and comprehensive columns/info.",https://www.gctd.org/wp-content/uploads/2021/06/GCTD_GTFS.zip,2/4/2026,Gold Coast Schedule,1,1,0,1,1,1,1,1,1,1,0
14,14,2071F74D38820FC2,sacrt_bus_ridership,Sacramento Regional Transit District,Sacramento Regional Transit District Bus,9/1/2023,12/31/2023,custom_period,avg_daily,stop,GTFS-ride format.,https://iportal.sacrt.com/gtfs/srtd/google_transit.zip,2/4/2026,Sacramento Schedule,0,1,1,1,1,1,1,1,1,1,0
15,15,313575E419A203CA,culver_citybus_ridership,City of Culver City,Culver CityBus,7/14/2025,8/25/2025,custom_period,avg_time_of_day,stop,Data collected with Hella APCs and processed by UTA Transit. Data is undercount. Trips that were rejected by APC processing software are dropped. Data reported to NTD is factored to replace the rejected trips and is higher.,https://web.culvercity.org/gtfs/gtfsexport.zip,2/4/2026,Culver City Schedule,1,1,1,1,1,1,0,0,1,1,0
16,16,52A9DCDCDBA1CCD3,riverside_transit_ridership,Riverside Transit Agency,Riverside Transit,1/1/2025,10/31/2025,day,,transaction,,https://www.riversidetransit.com/google_transit.zip,2/4/2026,Riverside Schedule,1,1,0,1,1,0,1,1,0,0,1
17,17,26406E10C753AC29,octa_ridership,Orange County Transportation Authority,Orange County Transportation Authority,2/4/2025,2/4/2025,day,daily,trip_stop,2025/2/4 has highest boarding in Q1 2025. Stop id extracted from raw stop name.,https://octa.net/current/google_transit.zip,2/4/2026,OCTA Schedule,1,1,1,1,1,1,0,0,1,1,0
18,18,D3642CDF7FD75B27,caltrain_ridership,Peninsula Corridor Joint Powers Board,Caltrain,11/1/2023,7/31/2025,month,avg_daily,stop,Ridership numbers are estimated based on sales data from the various methods passengers pay for Caltrain fares.,https://api.511.org/transit/datafeeds?operator_id=CT,2/4/2026,Bay Area 511 Caltrain Schedule,1,0,0,0,0,1,0,0,0,0,1
